name,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,url,County,City,State,Country
Palms Inn,0x88e77bee8518ceef:0xbbd071e414788286,28.5106252,-81.418326,Hotel,2.8,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77bee8518ceef:0xbbd071e414788286?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Building 71,0x88dd8081a8007249:0xaebc4131dc396da9,28.402667899999997,-81.4684089,Hotel,4.8,25,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8081a8007249:0xaebc4131dc396da9?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Luxurious Apts in Brickell,0x88d9b68731cfdd8f:0xe4dcbb0342098ef,25.7592437,-80.1935709,Hotel,5.0,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b68731cfdd8f:0xe4dcbb0342098ef?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Times Square Towers,0x89c258ffcaad98a9:0x2c9c3733efc6ef43,40.755883399999995,-73.9800775,Hotel,4.2,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258ffcaad98a9:0x2c9c3733efc6ef43?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Gilt,0x89c258fc6c3037df:0x4c0fd32b72899779,40.7578805,-73.97515159999999,Hotel,4.4,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258fc6c3037df:0x4c0fd32b72899779?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Lake Inn Orlando,0x88e77ba378b3a00b:0x4f00acb20a19abb9,28.500407799999998,-81.3964433,Hotel,5.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77ba378b3a00b:0x4f00acb20a19abb9?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Studio in Times Square,0x89c2585240000001:0xb38aa8ec0cc82533,40.7578645,-73.983992,Hotel,3.2,33,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2585240000001:0xb38aa8ec0cc82533?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Lifestyles Resorts & Spa,0x88e778dcc76bc015:0xf6c9873398e9f2f8,28.517803999999998,-81.48186439999999,Resort hotel,3.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e778dcc76bc015:0xf6c9873398e9f2f8?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Harlem 144 Guest House,0x89c2f612248002bd:0x110c9492e7d1b9b7,40.8051247,-73.9495755,Hotel,3.3,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2f612248002bd:0x110c9492e7d1b9b7?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Building 63,0x88dd807fc80ee109:0xb4294b11264f23aa,28.403503699999998,-81.4710006,Hotel,4.7,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd807fc80ee109:0xb4294b11264f23aa?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
