name,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,url
Basecamp Guesthouse,0x54907fca2751e187:0x3d6ae31ac18da483,47.471331899999996,-121.68692779999999,Hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54907fca2751e187:0x3d6ae31ac18da483?authuser=-1&hl=en&gl=us
Sugar River Loft,0x88062b28cb53ef6d:0x94df72568fddf391,42.6198617,-89.3778904,Hotel,4.7,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88062b28cb53ef6d:0x94df72568fddf391?authuser=-1&hl=en&gl=us
Meraki Lodge,0x549b9d4ad8f113d5:0x8258a10cca866a62,47.887652499999994,-120.12037559999999,Hotel,4.9,15,https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9d4ad8f113d5:0x8258a10cca866a62?authuser=-1&hl=en&gl=us
View House at Lake Chelan,0x549b9db4d73626a3:0x348e8f7106d3be41,47.888290999999995,-120.12411999999999,Hotel,4.4,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x549b9db4d73626a3:0x348e8f7106d3be41?authuser=-1&hl=en&gl=us
Station Lakefront Rental Home,0x4d55cee0af102c25:0x752b313677a78e1c,45.998720299999995,-89.49086679999999,Resort hotel,4.7,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x4d55cee0af102c25:0x752b313677a78e1c?authuser=-1&hl=en&gl=us
Kings Island Resort And Conference Center,0x8840f7fb054383e1:0xc000c04af5bff671,39.3550606,-84.264094,Hotel,2.8,28,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8840f7fb054383e1:0xc000c04af5bff671?authuser=-1&hl=en&gl=us
"Garden City, SC",0x890040a328107fdd:0xeae6f2337638588d,33.5925407,-79.0093231,Hotel,3.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x890040a328107fdd:0xeae6f2337638588d?authuser=-1&hl=en&gl=us
Garden City Kansas,0x8709f120d869b509:0xf91d47979d8eb35b,38.0500283,-100.8478866,Hotel,4.3,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8709f120d869b509:0xf91d47979d8eb35b?authuser=-1&hl=en&gl=us
Howard Johnson Inn Cincinnati,0x88404e8cd7f757e3:0x453c26c3a9a95f28,39.293253299999996,-84.4875132,Hotel,1.8,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88404e8cd7f757e3:0x453c26c3a9a95f28?authuser=-1&hl=en&gl=us
Ski Hill 36 by Pinnacle Lodging,0x876af72c9048cd0b:0x102ccc701ed7e416,39.482306,-106.04967699999999,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x876af72c9048cd0b:0x102ccc701ed7e416?authuser=-1&hl=en&gl=us
Kasa Charlotte FreeMoreWest,0x8856a1dedb2e9e7d:0xc18c20b72da2e705,35.224396999999996,-80.87187999999999,Hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8856a1dedb2e9e7d:0xc18c20b72da2e705?authuser=-1&hl=en&gl=us
Riverside Motel,0x88e50593793be5eb:0x8b1c18684402c3e2,30.735818599999998,-81.687483,Hotel,4.0,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e50593793be5eb:0x8b1c18684402c3e2?authuser=-1&hl=en&gl=us
Howard Johnson Saint Robert Near Fort Leonard Wood,0x87dadd7deffeb753:0x22b9d6cc43e326ea,37.8265228,-92.15903469999999,Hotel,3.4,44,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87dadd7deffeb753:0x22b9d6cc43e326ea?authuser=-1&hl=en&gl=us
Georgetown Vacation Rentals,0x88423f0b9c6fffff:0xc3ecc4cb7bccf4fd,38.2148032,-84.5597011,Hotel,5.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88423f0b9c6fffff:0xc3ecc4cb7bccf4fd?authuser=-1&hl=en&gl=us
Motel 6 Sioux City,0x878dffa6aee7d3d7:0x251ad04cdf4901a1,42.3988035,-96.3688403,Hotel,3.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x878dffa6aee7d3d7:0x251ad04cdf4901a1?authuser=-1&hl=en&gl=us
Lances Landing,0x89a45b17b79a4245:0xb4689983b0f85a9e,35.566205499999995,-75.4682042,Resort hotel,4.2,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89a45b17b79a4245:0xb4689983b0f85a9e?authuser=-1&hl=en&gl=us
Holiday Inn Fitchburg - Waterpark,0x89e3e40a2a7d4311:0x56b54dc03b117440,42.547033899999995,-71.8543571,Hotel,2.5,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e3e40a2a7d4311:0x56b54dc03b117440?authuser=-1&hl=en&gl=us
Building 63,0x88dd807fc80ee109:0xb4294b11264f23aa,28.403503699999998,-81.4710006,Hotel,4.7,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd807fc80ee109:0xb4294b11264f23aa?authuser=-1&hl=en&gl=us
The Royal Chinook,0x54c1eb699a24ba55:0x47978bf3a4c68381,44.3119687,-124.10730129999999,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x54c1eb699a24ba55:0x47978bf3a4c68381?authuser=-1&hl=en&gl=us
Woodland Hills Golf Club,0x88f3364ae696700d:0x7f7093036f6a6dab,32.5865594,-84.8124369,Resort hotel,2.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88f3364ae696700d:0x7f7093036f6a6dab?authuser=-1&hl=en&gl=us
Five Touch Spa & Salon,0x89ac209443087387:0x7057ff7490de09fb,35.716812,-77.947255,Resort hotel,4.8,45,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89ac209443087387:0x7057ff7490de09fb?authuser=-1&hl=en&gl=us
Alpine Motel,0x8867b90fcfc7ba9d:0xdaae52c29e2ee719,36.7903399,-85.3705186,Hotel,5.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8867b90fcfc7ba9d:0xdaae52c29e2ee719?authuser=-1&hl=en&gl=us
MSI Lodging Systems,0x885d484f6d3b709f:0xd4192fa815c2b414,37.0381029,-84.6305019,Hotel,2.7,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885d484f6d3b709f:0xd4192fa815c2b414?authuser=-1&hl=en&gl=us
Lazy K Lounge,0x89c89ce228f7909b:0xa02441a3e7e0fe89,40.0305695,-76.5049006,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c89ce228f7909b:0xa02441a3e7e0fe89?authuser=-1&hl=en&gl=us
Stay Alfred on 14th Street,0x89b7b7eabc3a975d:0x36dd303af2d306b6,38.9071152,-77.0321293,Hotel,4.4,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89b7b7eabc3a975d:0x36dd303af2d306b6?authuser=-1&hl=en&gl=us
Gatlinburg Village 505 3 Bedroom Home,0x885955d9c0464015:0xb1df9fa73da57766,35.7092382,-83.5109427,Hotel,3.4,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885955d9c0464015:0xb1df9fa73da57766?authuser=-1&hl=en&gl=us
Wilderness Retreat Cabins,0x88074662dd5be381:0x3fc1e4d73944fd62,43.6007415,-89.7649993,Hotel,4.7,16,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88074662dd5be381:0x3fc1e4d73944fd62?authuser=-1&hl=en&gl=us
Comfort Inn & Suites,0x885f67d7d223d33b:0x747859c540f93fb4,34.524487199999996,-83.9741111,Hotel,4.6,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x885f67d7d223d33b:0x747859c540f93fb4?authuser=-1&hl=en&gl=us
Taos Mountain Inn,0x871770268556ac25:0xd7b65612278b7419,36.463398399999996,-105.5993091,Hotel,4.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x871770268556ac25:0xd7b65612278b7419?authuser=-1&hl=en&gl=us
